# Flageul, Benhamadouche, Lamballais & Laurence, IJHFF 55 (2015) 34-44,
# figure 5a, the isoQ (green x) case.  Re_tau = 149, Pr = 0.71.
# Digitised by digitize_flageul.py and cross-validated against the same
# series in panel 5b: max 0.209, rms 0.048 in <T'^2>.
# y+   <T'^2>/T_tau^2
34.2139 4.77819
34.3854 4.78629
34.5577 4.8027
34.7309 4.7908
34.905 4.83025
35.08 4.75
35.2559 4.67334
35.4326 4.66558
35.6102 4.6717
35.7887 4.6659
35.9681 4.71866
36.1484 4.64022
36.3296 4.55784
36.5117 4.54746
36.6947 4.56446
36.8787 4.56738
37.0635 4.66473
37.2493 4.60747
37.436 4.53043
37.6237 4.47072
37.8123 4.45666
38.0018 4.45596
38.1923 4.43477
38.3838 4.42322
38.5762 4.39283
38.7696 4.38064
38.9639 4.37119
39.1592 4.35617
39.3555 4.32627
39.5528 4.31874
39.751 4.16598
39.9503 4.27381
40.1506 4.30088
40.3518 4.27106
40.5541 4.25693
40.7574 4.31407
40.9617 4.198
41.167 4.14004
41.3734 4.16416
41.5808 4.17432
41.7892 4.13421
41.9987 4.15229
42.2092 4.05727
42.4208 4.03795
42.6334 4.05994
42.8471 4.05309
43.0619 4.07547
43.2778 4.12124
43.4947 4.02949
43.7127 3.8906
43.9319 3.92822
44.1521 3.92958
44.3734 3.95019
44.5958 4.09804
44.8194 3.89676
45.044 3.75327
45.2698 3.82756
45.4968 3.82472
45.7248 3.83276
45.954 3.86088
46.1844 3.8407
46.4159 3.68105
46.6486 3.70961
46.8824 3.72287
47.1174 3.71364
47.3536 3.74758
47.591 3.8775
47.8295 3.7063
48.0693 3.62542
48.3102 3.61214
48.5524 3.59923
48.7958 3.59502
49.0404 3.72856
49.2862 3.60676
49.5333 3.48716
49.7815 3.50986
50.0311 3.50835
50.2819 3.4993
50.5339 3.50315
50.7872 3.55943
51.0418 3.26599
51.2977 3.39297
51.5548 3.39503
51.8132 3.39137
52.073 3.39109
52.334 3.52054
52.5963 3.36903
52.86 3.23463
53.125 3.28428
53.3913 3.26978
53.6589 3.28274
53.9279 3.27518
54.1982 3.28428
54.4699 3.1485
54.7429 3.17408
55.0173 3.16953
55.2931 3.16911
55.5703 3.18702
55.8488 3.25261
56.1288 3.26117
56.4101 3.06471
56.6929 3.04661
56.9771 3.02748
57.2627 3.04729
57.5497 3.06279
57.8382 3.13106
58.1282 3.10709
58.4195 2.98652
58.7124 2.94723
59.0067 2.92624
59.3025 2.9446
59.5997 2.95651
59.8985 2.97697
60.1987 2.96745
60.5005 2.88367
60.8038 2.85285
61.1086 2.83377
61.4149 2.83677
61.7227 2.82512
62.0321 2.83359
62.3431 2.87442
62.6556 2.74801
62.9697 2.73193
63.2853 2.71578
63.6025 2.71385
63.9214 2.6433
64.2418 2.6763
64.5638 2.71957
64.8874 2.66089
65.2127 2.62879
65.5396 2.61076
65.8681 2.58254
66.1983 2.54982
66.5301 2.59802
66.8636 2.64344
67.1988 2.5733
67.5357 2.53313
67.8742 2.51695
68.2144 2.48626
68.5564 2.46414
68.9 2.51387
69.2454 2.48647
69.5925 2.47111
69.9413 2.42979
70.2919 2.4282
70.6443 2.3934
70.9984 2.32811
71.3543 2.392
71.712 2.3871
72.0715 2.34731
72.4327 2.33433
72.7958 2.32327
73.1607 2.28788
73.5275 2.25963
73.896 2.28414
74.2664 2.30971
74.6387 2.28698
75.0129 2.27664
75.3889 2.24556
75.7668 2.19163
76.1466 2.15986
76.5283 2.17629
76.9119 2.16928
77.2974 2.16846
77.6849 2.17158
78.0743 2.14599
78.4657 2.08734
78.859 2.05393
79.2543 2.05085
79.6516 2.07613
80.0508 2.05085
80.4521 2.07901
80.8554 2.06002
81.2607 2.02781
81.668 1.93889
82.0774 1.96516
82.4888 1.96827
82.9023 1.96127
83.3179 1.9839
83.7356 1.95649
84.1553 1.94481
84.5771 1.86672
85.0011 1.85865
85.4272 1.84206
85.8554 1.88213
86.2858 1.86875
86.7183 1.86556
87.153 1.8282
87.5899 1.7503
88.0289 1.74712
88.4702 1.72467
88.9137 1.70151
89.3594 1.78197
89.8073 1.76048
90.2575 1.72988
90.7099 1.7053
91.1646 1.63967
91.6216 1.65678
92.0809 1.56722
92.5424 1.66221
93.0063 1.67139
93.4725 1.66063
93.9411 1.63136
94.412 1.55855
94.8852 1.55586
95.3609 1.53422
95.8389 1.5416
96.3193 1.56626
96.8021 1.57011
97.2874 1.57088
97.775 1.49923
98.2652 1.42894
98.7577 1.44629
99.2528 1.39291
99.7503 1.42198
100.25 1.48382
100.753 1.45797
101.258 1.45027
101.765 1.39163
102.276 1.36413
102.788 1.3567
103.304 1.29575
103.821 1.34733
104.342 1.37991
104.865 1.37041
105.39 1.33196
105.919 1.25401
106.45 1.27735
106.983 1.26742
107.52 1.24884
108.059 1.28582
108.6 1.27658
109.145 1.28619
109.692 1.18918
